"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"NK cells","NK cells","HLA-E","KLRK1",0.172404218150644,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Platelets","NK cells","HLA-E","CD94:NKG2E",0.170879614830712,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Naive CD4 T cells","MAIT / CD161-like T cells","CD69","KLRB1",0.169222974712812,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"MAIT / CD161-like T cells","NK cells","CD69","KLRB1",0.165879674599527,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Regulatory / Activated CD4 T cells","MAIT / CD161-like T cells","CLEC2D","KLRB1",0.165329026363083,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Plasma cells","MAIT / CD161-like T cells","CD69","KLRB1",0.161368176611938,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Naive B cells","NK cells","HLA-E","KLRK1",0.157649916279867,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Platelets","NK cells","CD99","CD99",0.15683732573891,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Platelets","CD99","CD99",0.15683732573891,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","Naive B cells","CD99","CD99",0.155657580356289,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","Platelets","CD99","CD99",0.155657580356289,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","NK cells","HLA-E","KLRK1",0.155586079406929,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Platelets","NK-like cells","HLA-E","KLRK1",0.154056926518835,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Naive B cells","NK cells","CD69","KLRB1",0.150100457699321,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"MAIT / CD161-like T cells","NK cells","HLA-E","KLRK1",0.147830188858042,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Conventional Dendritic Cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.147599297575049,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Platelets","MAIT / CD161-like T cells","HLA-E","CD8A",0.147552687652925,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Naive B cells","HLA-E","KLRK1",0.146643017776155,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK cells","NK cells","CLEC2B","KLRB1",0.1457083312062,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Naive B cells","MAIT / CD161-like T cells","CLEC2D","KLRB1",0.144817819751942,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Classical Monocytes","Conventional Dendritic Cells","APP","CD74",0.143689646725262,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Regulatory / Activated CD4 T cells","NK cells","HLA-E","KLRK1",0.143586375062367,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Platelets","Monocytes","THBS1","CD36",0.142711231262165,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"Platelets","MAIT / CD161-like T cells","CLEC1B","KLRB1",0.140161363482409,0,"CLEC1B_KLRB1","CLEC1B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"C1Q+ Monocytes","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.139788535652483,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Classical Monocytes","Myeloid cells","NAMPT","ITGA5_ITGB1",0.138057218903869,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"MAIT / CD161-like T cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.137562306297889,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Myeloid cells","Myeloid cells","NAMPT","ITGA5_ITGB1",0.13679790376629,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Plasma cells","NK cells","HLA-E","KLRK1",0.136382504386919,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Naive CD4 T cells","NK cells","HLA-E","KLRK1",0.136117499339008,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Classical Monocytes","Gamma-delta Cytotoxic T cells","APP","CD74",0.135832082116467,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Regulatory / Activated CD4 T cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CXCR4",0.134584578626737,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Regulatory / Activated CD4 T cells","Conventional Dendritic Cells","MIF","CD74_CD44",0.134496859745036,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Naive B cells","Naive B cells","HLA-E","KLRK1",0.133737089000333,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK-like cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.133610132830692,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Regulatory / Activated CD4 T cells","NK cells","CD69","KLRB1",0.133539719446752,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Classical Monocytes","Plasma cells","APP","CD74",0.13314131821512,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","C1Q+ Monocytes","CD99","PILRA",0.132903163646162,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Gamma-delta Cytotoxic T cells","NK-like cells","CD22","PTPRC",0.13212215667723,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"NK-like cells","Gamma-delta Cytotoxic T cells","PTPRC","CD22",0.13212215667723,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"C1Q+ Monocytes","Naive B cells","HLA-E","KLRK1",0.131937268411165,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Naive CD4 T cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.131075940992943,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"MAIT / CD161-like T cells","Gamma-delta Cytotoxic T cells","MIF","CD74_CXCR4",0.131074267903401,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MAIT / CD161-like T cells","Conventional Dendritic Cells","MIF","CD74_CD44",0.130988490655448,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"C1Q+ Monocytes","Myeloid cells","NAMPT","ITGA5_ITGB1",0.129613787180572,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Gamma-delta Cytotoxic T cells","C1Q+ Monocytes","CD22","PTPRC",0.129402891399941,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","Gamma-delta Cytotoxic T cells","PTPRC","CD22",0.129402891399941,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"Regulatory / Activated CD4 T cells","Conventional Dendritic Cells","MIF","CD74_CXCR4",0.129100103014111,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Monocytes","NK cells","HLA-E","KLRK1",0.128949972699667,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK cells","Platelets","ITGB2","CD226",0.12843820515972,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","MAIT / CD161-like T cells","HLA-B","CD8A",0.128396761155011,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Regulatory / Activated CD4 T cells","Platelets","CD99","CD99",0.128108329287131,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","Regulatory / Activated CD4 T cells","CD99","CD99",0.128108329287131,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","Conventional Dendritic Cells","APP","CD74",0.127934210024081,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Platelets","Monocytes","CD99","CD99",0.12788257927941,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Platelets","CD99","CD99",0.12788257927941,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"NK-like cells","Gamma-delta Cytotoxic T cells","ADGRE5","CD55",0.127882298501929,0,"ADGRE5_CD55","ADGRE5 - CD55","ADGRE5","Cell-Cell Contact","PMID: 11297558"
"Naive B cells","NK cells","CLEC2B","KLRB1",0.12776795334028,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"NK cells","NK cells","CD99","CD99",0.127655072153348,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Platelets","ITGB2","CD226",0.12742263444745,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Regulatory / Activated CD4 T cells","MAIT / CD161-like T cells","CLEC2B","KLRB1",0.127346579236045,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Gamma-delta Cytotoxic T cells","Naive B cells","CD22","PTPRC",0.127337899560444,0,"CD22_PTPRC","CD22 - PTPRC","CD22","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","Gamma-delta Cytotoxic T cells","PTPRC","CD22",0.127337899560444,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"C1Q+ Monocytes","C1Q+ Monocytes","PECAM1","PECAM1",0.126874340776197,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","NK cells","HLA-E","KLRK1",0.126771598844557,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK cells","Naive B cells","CD99","CD99",0.126661862916336,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","NK cells","CD99","CD99",0.126661862916336,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
