"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Myeloid cells","C1Q+ Monocytes","HLA-DRA","CD4",0.0201114556863894,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","Classical Monocytes","ITGB2","ICAM1",0.0200924545087946,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Conventional Dendritic Cells","Naive CD4 T cells","HLA-E","CD8B",0.0200544177580874,0,"HLA-E_CD8B","HLA-E - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","Myeloid cells","LAMB3","CD44",0.0200527124138104,0,"LAMB3_CD44","LAMB3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Classical Monocytes","Platelets","ITGB2","ICAM2",0.0200486342460863,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","Naive CD4 T cells","HLA-A","CD8A",0.0200483923089661,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","C1Q+ Monocytes","HLA-DQA1","CD4",0.019976781601234,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Conventional Dendritic Cells","C1Q+ Monocytes","TGFB1","ACVR1B_TGFbR2",0.0199506834467742,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"NK cells","NK cells","HLA-E","KLRC2",0.0199132097858288,0,"HLA-E_KLRC2","HLA-E - KLRC2","MHC-I","Cell-Cell Contact","PMID: 26697006"
"Regulatory / Activated CD4 T cells","Naive CD4 T cells","HLA-E","CD8A",0.0199127407147454,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Regulatory / Activated CD4 T cells","Naive B cells","CLEC2B","KLRB1",0.0198919242720258,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Plasma cells","MAIT / CD161-like T cells","ALCAM","CD6",0.0198876238548491,0,"ALCAM_CD6","ALCAM - CD6","ALCAM","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","Plasma cells","CD6","ALCAM",0.0198876238548491,0,"CD6_ALCAM","CD6 - ALCAM","CD6","Cell-Cell Contact","PMID: 23602662"
"Gamma-delta Cytotoxic T cells","NK cells","HLA-B","CD8A",0.0198638596808888,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","Myeloid cells","LGALS9","CD44",0.0198556572810952,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Regulatory / Activated CD4 T cells","NK cells","HLA-A","CD8A",0.0198452302193176,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Conventional Dendritic Cells","ICAM1","ITGAX_ITGB2",0.0197725386373121,0,"ICAM1_ITGAX_ITGB2","ICAM1 - (ITGAX+ITGB2)","ICAM","Cell-Cell Contact","PMID: 16252253"
"C1Q+ Monocytes","C1Q+ Monocytes","CD48","CD244",0.0197635684315638,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Classical Monocytes","NK cells","HLA-C","CD8A",0.019726846153426,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Myeloid cells","LGALS9","HAVCR2",0.0197248634490239,0,"LGALS9_HAVCR2","LGALS9 - HAVCR2","GALECTIN","Secreted Signaling","PMID: 27192565"
"C1Q+ Monocytes","Platelets","ITGB2","ICAM2",0.0197062730248495,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","NK cells","HLA-C","KIR2DL3",0.0196923106506728,0,"HLA-C_KIR2DL3","HLA-C - KIR2DL3","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Naive B cells","Conventional Dendritic Cells","ITGB2","ICAM1",0.0196549106160808,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Conventional Dendritic Cells","HLA-DPB1","CD4",0.0196450700050896,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Conventional Dendritic Cells","C1Q+ Monocytes","IL16","CD4",0.0196424365672453,0,"IL16_CD4","IL16 - CD4","IL16","Secreted Signaling","KEGG: hsa04060"
"Naive B cells","Regulatory / Activated CD4 T cells","HLA-DRB1","CD4",0.0196289052861229,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Monocytes","ICAM1","ITGAX_ITGB2",0.0196047779033956,0,"ICAM1_ITGAX_ITGB2","ICAM1 - (ITGAX+ITGB2)","ICAM","Cell-Cell Contact","PMID: 16252253"
"Plasma cells","C1Q+ Monocytes","COL4A3","CD44",0.0195785117735124,0,"COL4A3_CD44","COL4A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"MAIT / CD161-like T cells","Regulatory / Activated CD4 T cells","CD69","KLRB1",0.0195639465114364,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"C1Q+ Monocytes","Regulatory / Activated CD4 T cells","HLA-DQA1","CD4",0.0195409961483308,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","Myeloid cells","CD99","PILRA",0.0195376609398498,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Monocytes","NK cells","HLA-A","CD8A",0.0195308794197335,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","NK-like cells","CLEC2D","KLRB1",0.0195082671227855,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"NK-like cells","Naive B cells","CD69","KLRB1",0.0194748859035398,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Gamma-delta Cytotoxic T cells","Gamma-delta Cytotoxic T cells","LGALS9","PTPRC",0.0194289430267701,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"MAIT / CD161-like T cells","Monocytes","HLA-F","LILRB1",0.0194269531973493,0,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK-like cells","Naive CD4 T cells","HLA-E","KLRK1",0.0194178491641473,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Monocytes","Naive CD4 T cells","HLA-DRB1","CD4",0.0194126194875519,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","Monocytes","COL4A3","CD44",0.0194106963516584,0,"COL4A3_CD44","COL4A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Plasma cells","Classical Monocytes","TGFB1","ACVR1B_TGFbR2",0.0193771771592721,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Naive B cells","NK-like cells","HLA-E","KLRC2",0.0193752156737757,0,"HLA-E_KLRC2","HLA-E - KLRC2","MHC-I","Cell-Cell Contact","PMID: 26697006"
"Monocytes","Regulatory / Activated CD4 T cells","HLA-DMB","CD4",0.0192968493343835,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","Naive CD4 T cells","LGALS9","PTPRC",0.0192946799393862,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Conventional Dendritic Cells","Naive CD4 T cells","HLA-A","CD8A",0.0192769745333011,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","MAIT / CD161-like T cells","HLA-F","CD8A",0.0192657389689766,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","Naive B cells","CLEC2B","KLRB1",0.0192560643413331,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Classical Monocytes","C1Q+ Monocytes","ICAM1","ITGAX_ITGB2",0.0192501304921026,0,"ICAM1_ITGAX_ITGB2","ICAM1 - (ITGAX+ITGB2)","ICAM","Cell-Cell Contact","PMID: 16252253"
"Plasma cells","Classical Monocytes","FCER2","ITGAM_ITGB2",0.0192414345670468,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"Monocytes","Naive B cells","CLEC2B","KLRB1",0.0192374073380448,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Conventional Dendritic Cells","Naive CD4 T cells","HLA-E","KLRK1",0.0191918846598386,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Classical Monocytes","NK cells","CD48","CD244",0.0191630945601047,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Plasma cells","NK cells","HLA-C","CD8A",0.0191331335074815,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","NK cells","ICAM1","ITGAL_ITGB2",0.0191169662436354,0,"ICAM1_ITGAL_ITGB2","ICAM1 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","Monocytes","HLA-DRA","CD4",0.0191142084856431,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","NK cells","HLA-C","KIR2DL3",0.0190996171571026,0,"HLA-C_KIR2DL3","HLA-C - KIR2DL3","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Gamma-delta Cytotoxic T cells","Naive CD4 T cells","HLA-C","CD8A",0.0190922997877634,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","NK-like cells","HLA-E","KLRC2",0.019080565892455,0,"HLA-E_KLRC2","HLA-E - KLRC2","MHC-I","Cell-Cell Contact","PMID: 26697006"
"Classical Monocytes","NK cells","HLA-A","KIR3DL1",0.0190557198377001,0,"HLA-A_KIR3DL1","HLA-A - KIR3DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK cells","Conventional Dendritic Cells","SELPLG","SELL",0.0190299411798746,0,"SELPLG_SELL","SELPLG - SELL","SELPLG","Cell-Cell Contact","PMC2431087; PMID:  8892633,PMID:  8896607"
"Naive B cells","NK cells","HLA-E","CD8A",0.0190064499211769,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","Naive B cells","HLA-F","CD8A",0.0189958248309859,0,"HLA-F_CD8A","HLA-F - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Monocytes","HLA-DQA1","CD4",0.0189860829630204,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","Myeloid cells","PECAM1","PECAM1",0.0189800981979406,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","C1Q+ Monocytes","ANXA1","FPR1",0.0189769596819653,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Conventional Dendritic Cells","NK-like cells","ICAM1","ITGAL",0.018963594784071,0,"ICAM1_ITGAL","ICAM1 - ITGAL","ICAM","Cell-Cell Contact","PMID: 23602662"
"Myeloid cells","Naive B cells","HLA-A","CD8A",0.0189121238122252,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","C1Q+ Monocytes","IL16","CD4",0.0189036359235779,0,"IL16_CD4","IL16 - CD4","IL16","Secreted Signaling","KEGG: hsa04060"
"Naive B cells","C1Q+ Monocytes","ITGB2","ICAM2",0.0189028368836717,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","Regulatory / Activated CD4 T cells","CD80","CD28",0.0188992985995152,0,"CD80_CD28","CD80 - CD28","CD80","Cell-Cell Contact","PMID: 23954143"
"Classical Monocytes","Conventional Dendritic Cells","ANXA1","FPR1",0.0188536914033349,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"MAIT / CD161-like T cells","Conventional Dendritic Cells","TGFB1","ACVR1B_TGFbR2",0.0188461595144285,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Gamma-delta Cytotoxic T cells","NK-like cells","FCER2","ITGAX_ITGB2",0.0187835233671031,0,"FCER2A_ITGAX_ITGB2","FCER2A - (ITGAX+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"Plasma cells","Naive CD4 T cells","HLA-E","CD8A",0.0187776522403041,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Naive CD4 T cells","Naive CD4 T cells","HLA-E","CD8A",0.0187362076477337,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Naive CD4 T cells","Myeloid cells","CD99","PILRA",0.0187222952908262,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"C1Q+ Monocytes","NK cells","HLA-E","CD8A",0.0187173011265787,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Plasma cells","TNFSF13B","TNFRSF13B",0.0187134673530537,0,"TNFSF13B_TNFRSF13B","TNFSF13B - TNFRSF13B","BAFF","Secreted Signaling","KEGG: hsa04060"
"Conventional Dendritic Cells","NK cells","HLA-C","CD8A",0.0186976317815222,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","C1Q+ Monocytes","CD48","CD244",0.018695085108518,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"NK cells","C1Q+ Monocytes","HLA-DPA1","CD4",0.0186942083539325,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"NK-like cells","C1Q+ Monocytes","ITGB2","ICAM1",0.0186851230982745,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Conventional Dendritic Cells","HLA-DMA","CD4",0.0186846385257092,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Naive CD4 T cells","Conventional Dendritic Cells","FLT3LG","FLT3",0.0186780621490491,0,"FLT3L_FLT3","FLT3L - FLT3","FLT3","Secreted Signaling","PMID: 25992210"
"Conventional Dendritic Cells","Monocytes","IL16","CD4",0.0186680030929006,0,"IL16_CD4","IL16 - CD4","IL16","Secreted Signaling","KEGG: hsa04060"
"Conventional Dendritic Cells","NK cells","HLA-C","KIR2DL3",0.0186648638016999,0,"HLA-C_KIR2DL3","HLA-C - KIR2DL3","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Plasma cells","Naive CD4 T cells","HLA-DRB1","CD4",0.0186562086773431,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","Monocytes","HLA-F","LILRB1",0.018526399193397,0,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Conventional Dendritic Cells","Conventional Dendritic Cells","ITGB2","CD226",0.0185073645773449,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Naive CD4 T cells","NK cells","HLA-C","CD8A",0.0184662222417415,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Naive CD4 T cells","NK cells","HLA-C","KIR2DL3",0.0184338521935509,0,"HLA-C_KIR2DL3","HLA-C - KIR2DL3","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Gamma-delta Cytotoxic T cells","Conventional Dendritic Cells","LGALS9","PTPRC",0.0183765565126464,0.01,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Naive CD4 T cells","NK cells","ITGB2","CD226",0.0183654090633621,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Conventional Dendritic Cells","Classical Monocytes","ITGB2","ICAM1",0.0183471180254863,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Naive CD4 T cells","NK cells","HLA-A","KIR3DL1",0.0183408663886907,0,"HLA-A_KIR3DL1","HLA-A - KIR3DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Gamma-delta Cytotoxic T cells","Classical Monocytes","LGALS9","PTPRC",0.0183354327367489,0.01,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Myeloid cells","Classical Monocytes","LAMB3","CD44",0.018327438768531,0,"LAMB3_CD44","LAMB3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Gamma-delta Cytotoxic T cells","Naive B cells","CLEC2D","KLRB1",0.0183220920697585,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Naive CD4 T cells","Monocytes","ANXA1","FPR1",0.0183032196867257,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Gamma-delta Cytotoxic T cells","Monocytes","LGALS9","PTPRC",0.0182744237766071,0.01,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Naive B cells","Conventional Dendritic Cells","HLA-DPA1","CD4",0.0182415156575106,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Monocytes","THBS1","CD47",0.0182162885503099,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Gamma-delta Cytotoxic T cells","NK cells","HLA-C","KIR2DL1",0.0182161587249325,0,"HLA-C_KIR2DL1","HLA-C - KIR2DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Classical Monocytes","Regulatory / Activated CD4 T cells","HLA-DPA1","CD4",0.0182062562688214,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","NK cells","HLA-A","CD8A",0.0181828295298499,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","C1Q+ Monocytes","ANXA1","FPR1",0.0181816284048806,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Gamma-delta Cytotoxic T cells","Classical Monocytes","LGALS9","CD44",0.0181470236921028,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Monocytes","Classical Monocytes","IL1B","IL1R1_IL1RAP",0.0181281484495171,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060"
"Classical Monocytes","NK cells","LGALS9","CD44",0.0181023397664746,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"C1Q+ Monocytes","Classical Monocytes","ICAM1","ITGAL_ITGB2",0.018074625955529,0,"ICAM1_ITGAL_ITGB2","ICAM1 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","Monocytes","TGFB1","ACVR1_TGFbR",0.0180739100634249,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"NK cells","Monocytes","TGFB1","ACVR1_TGFbR",0.0180716948235363,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C1Q+ Monocytes","NK cells","HLA-A","KIR3DL1",0.0180705878721983,0,"HLA-A_KIR3DL1","HLA-A - KIR3DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Conventional Dendritic Cells","C1Q+ Monocytes","ICAM1","ITGAL_ITGB2",0.0180559917710002,0,"ICAM1_ITGAL_ITGB2","ICAM1 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","Myeloid cells","LGALS9","PTPRC",0.0180547414972185,0.02,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Naive B cells","Classical Monocytes","HLA-DRB1","CD4",0.0180358684721231,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","Plasma cells","LGALS9","PTPRC",0.0180352929872847,0.01,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Gamma-delta Cytotoxic T cells","C1Q+ Monocytes","FCER2","ITGAM_ITGB2",0.0180118964905758,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"Plasma cells","NK cells","HLA-A","KIR3DL1",0.0180024902976346,0,"HLA-A_KIR3DL1","HLA-A - KIR3DL1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Conventional Dendritic Cells","Platelets","ITGB2","ICAM2",0.0179938663056181,0,"ITGB2_ICAM2","ITGB2 - ICAM2","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","NK-like cells","HLA-E","KLRC2",0.0179844804952992,0,"HLA-E_KLRC2","HLA-E - KLRC2","MHC-I","Cell-Cell Contact","PMID: 26697006"
"Gamma-delta Cytotoxic T cells","Monocytes","IL16","CD4",0.0179651816716603,0,"IL16_CD4","IL16 - CD4","IL16","Secreted Signaling","KEGG: hsa04060"
"C1Q+ Monocytes","Classical Monocytes","HLA-DQA1","CD4",0.0179549631732476,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Conventional Dendritic Cells","ICAM1","ITGAX_ITGB2",0.0179416215924873,0,"ICAM1_ITGAX_ITGB2","ICAM1 - (ITGAX+ITGB2)","ICAM","Cell-Cell Contact","PMID: 16252253"
"C1Q+ Monocytes","Naive CD4 T cells","HLA-DRA","CD4",0.0179415807071781,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","NK cells","HLA-E","KLRC2",0.0179263671350916,0,"HLA-E_KLRC2","HLA-E - KLRC2","MHC-I","Cell-Cell Contact","PMID: 26697006"
"C1Q+ Monocytes","Regulatory / Activated CD4 T cells","HLA-DQB1","CD4",0.0179191552920201,0,"HLA-DQB1_CD4","HLA-DQB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Platelets","GZMA","PARD3",0.017850686336968,0,"GZMA_PARD3","GZMA - PARD3","PARs","Secreted Signaling","KEGG: hsa04080"
"Conventional Dendritic Cells","Conventional Dendritic Cells","NEGR1","NEGR1",0.0178470131440563,0,"NEGR1_NEGR1","NEGR1 - NEGR1","NEGR","Cell-Cell Contact","KEGG: hsa04514"
"Naive CD4 T cells","C1Q+ Monocytes","CD48","CD244",0.0178415337363268,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Plasma cells","Regulatory / Activated CD4 T cells","ALCAM","CD6",0.0177955017978465,0,"ALCAM_CD6","ALCAM - CD6","ALCAM","Cell-Cell Contact","KEGG: hsa04514"
"Regulatory / Activated CD4 T cells","Plasma cells","CD6","ALCAM",0.0177955017978465,0,"CD6_ALCAM","CD6 - ALCAM","CD6","Cell-Cell Contact","PMID: 23602662"
"NK cells","Monocytes","HLA-DPA1","CD4",0.0177659626791557,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","Classical Monocytes","TGFB1","ACVR1B_TGFbR2",0.0177496779329455,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"MAIT / CD161-like T cells","NK cells","GZMA","F2R",0.0177478679898997,0,"GZMA_F2R","GZMA - F2R","PARs","Secreted Signaling","KEGG: hsa04080"
"C1Q+ Monocytes","Myeloid cells","ICAM1","ITGAX_ITGB2",0.0177464798620948,0,"ICAM1_ITGAX_ITGB2","ICAM1 - (ITGAX+ITGB2)","ICAM","Cell-Cell Contact","PMID: 16252253"
"Monocytes","Classical Monocytes","HLA-DMB","CD4",0.0177302740397905,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","Monocytes","FCER2","ITGAM_ITGB2",0.017706517489874,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"Conventional Dendritic Cells","Naive B cells","ICAM1","ITGAL_ITGB2",0.0176867114113352,0,"ICAM1_ITGAL_ITGB2","ICAM1 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Classical Monocytes","TGFB1","ACVR1_TGFbR",0.0176721324852412,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C1Q+ Monocytes","NK cells","HLA-E","KLRC2",0.0176533541573114,0,"HLA-E_KLRC2","HLA-E - KLRC2","MHC-I","Cell-Cell Contact","PMID: 26697006"
"Regulatory / Activated CD4 T cells","C1Q+ Monocytes","ANXA1","FPR1",0.0176453974716097,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
